table,county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
105A1,Penghu County,1,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,9
105A1,Kinmen County,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
105A1,Lienchiang County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105A2,Taiwan,3778,2201,1523,1223,1366,2497,6515,23927,22674,17788,17072,17622,17527,14642,15279,16750,19161,25323,21439,15652,12036,11645,10030,6331,304001
105A2,Taipei City,392,241,155,130,114,169,417,1182,1876,1478,1260,1208,1267,1137,1152,1278,1245,1491,1529,1165,875,1052,1018,675,22506
105A2,New Taipei City,549,325,214,151,153,266,700,2218,2627,1985,1745,1796,1767,1612,1647,1756,1894,2431,2277,1618,1367,1379,1420,970,32867
105A2,Keelung City,39,34,26,16,18,31,59,163,179,156,128,123,135,122,124,143,139,187,187,135,128,118,117,70,2577
105A2,Taoyuan City,456,280,199,143,175,330,888,2824,2429,1699,1621,1592,1669,1413,1482,1553,1901,2564,2270,1570,1354,1248,1118,687,31465
105A2,Hsinchu City,70,43,27,37,17,45,134,548,681,422,386,437,413,347,393,377,439,571,557,425,292,327,274,153,7415
105A2,Hsinchu County,81,46,29,31,41,55,214,743,736,485,420,455,447,364,350,410,477,717,610,459,318,305,216,152,8161
105A2,Miaoli County,48,36,20,20,23,55,159,597,441,343,369,385,343,261,287,357,442,583,429,350,247,217,149,110,6271
105A2,Taichung City,560,273,183,166,194,294,900,4176,3877,2940,2803,2868,2933,2269,2528,2725,3024,4552,3805,2681,2097,2076,1693,998,50615
105A2,Changhua County,143,93,67,50,61,160,366,1655,1082,1022,998,1055,1003,787,841,956,1174,1624,1237,854,706,609,439,239,17221
105A2,Nantou County,50,35,20,24,25,61,153,500,439,405,406,430,408,344,390,424,403,583,402,306,218,188,134,85,6433
105A2,Yunlin County,96,59,50,22,34,90,246,739,537,522,555,576,462,426,464,545,626,796,589,441,291,232,203,139,8740
105A2,Chiayi City,48,32,16,10,15,23,47,197,167,157,164,174,220,178,146,154,190,249,214,142,129,156,99,57,2984
105A2,Chiayi County,59,32,16,19,32,72,162,496,378,348,368,380,327,311,297,379,382,531,379,297,180,158,118,69,5790
